Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,age,agerange
13602373,"Tsadzikidze, Natia",GEO,F,1983,WIM,2308,0,0,Inactive,37,30-40
13600788,"Edzgveradze, Natalia",GEO,F,1975,WGM,2307,0,0,Inactive,45,40-50
8603219,"Zhang, Xiaowen",CHN,F,1989,WGM,2307,2348,2265,Active,31,30-40
24173770,"Goltseva, Ekaterina",RUS,F,2002,FM,2306,2219,2225,Active,18,10-20
13600389,"Janjghava, Natia",GEO,F,1972,WIM,2306,2205,2118,Inactive,48,40-50
1033662,"Ratsma, Rosa",NED,F,1996,WIM,2306,0,2241,Active,24,20-30
13602470,"Tsereteli, Tamar",GEO,F,1985,WGM,2306,0,2312,Inactive,35,30-40
35006916,Divya Deshmukh,IND,F,2005,WIM,2305,1775,2239,Active,15,10-20
24153648,"Obolentseva, Alexandra",RUS,F,2001,WGM,2305,2213,2113,Active,19,10-20
4106970,"Stepovaia, Tatiana",RUS,F,1965,WGM,2305,0,0,Inactive,55,50-60
304050,"Krupkova, Petra",CZE,F,1976,WGM,2303,0,0,Inactive,44,40-50
937266,"Rapport, Jovana",SRB,F,1992,WGM,2303,2314,2218,Active,28,20-30
2204185,"Calzetta Ruiz, Monica",ESP,F,1972,WGM,2302,2103,2121,Active,48,40-50
3524531,"Hernandez Machado, Patricia M.",CUB,F,2003,WFM,2302,2011,1940,Active,17,10-20
3503151,"Pina Vega, Sulennis",CUB,F,1981,WGM,2302,0,2315,Inactive,39,30-40
2915405,"Radeva, Viktoria",BUL,F,2001,WIM,2302,2052,1906,Active,19,10-20
13403052,"Fataliyeva, Ulviyya",AZE,F,1996,WGM,2301,2310,2240,Active,24,20-30
34106615,"Solozhenkina, Elizaveta",RUS,F,2003,WIM,2301,2232,2200,Active,17,10-20
8606161,"Xiao, Yiyi",CHN,F,1996,WGM,2301,2202,2205,Active,24,20-30
12505951,"Hejazipour, Mitra",IRI,F,1993,WGM,2300,2237,2239,Active,27,20-30
14900440,"Repkova, Eva",SVK,F,1975,IM,2300,2358,2285,Active,45,40-50
